id,description,severity
804933,performance bug: javascript functions run more slowly depending only on how they're constructed,normal
203257,win shows wrong error if there are no printers installed in the system,normal
625950,dummy implementations of atktext aren't useful,normal
536052,"won't load pages from my google searches, ""problem loading page"" screen with random, incorrect url.",normal
818083,baselinecompiler: compile jsop_not,normal
37482,[crash] corrupt profile causing crash on startup,major
442968,format outparams messages in the standard way,normal
726777,use after free in ~nsxmlhttprequest,critical
759709,intermittent leak in browser_views_liveupdate.js,normal
359063,xul multiline textbox spellcheck attribute does not inherits textarea one,normal
773210,a:active does not work in case we use event.preventdefault() in mousedown event handler,normal
336164,implement whatwg audio spec,normal
535805,address typedown needs sorting by usage,normal
441786,hard to delete folders containing live bookmarks,normal
566268,when used with english dictionary by mark tyndall (.) program so slow as to be unusable.,normal
718753,gecko-unsigned-unaligned.apk is signed,normal
212665,simplified chinese ime broken with flash on osx,major
678134,"with gl layers on x/nvidia, selecting text erases the text",normal
24937,"titledbutton cropping does not adjust ""on the fly""",normal
231026,menus do not appear when mouse is rolled over links,minor
538768,"tb . deletes all new pop messages in inbox and on server, bug is passed on to v. via profile after a downgrade",critical
440554,issue when rapidly pasting into form fields,minor
572393,the ui of pages is broken in opera .,major
398005,javascript tests - sync sisyphus support,normal
477804,using n for next unread message does not shift focus correctly in folder pane,normal
185654,findcharinset for nsastring,normal
258089,plug-in obscures(?) pull-down menus generated by javascript (dhtml),normal
704134,"[objshrink]: assertion failure: pobj == found, at jsinterp.cpp:",critical
288815,does not run minimized with -turbo option when prompted for account or master passwords,normal
339575,"using a variable named ""apos"" in url",normal
119382,'attribute nsiidptr iid' considered harmful,normal
569942,firefox consuming more than % of cpu,normal
535536,gmail pop account creation allows only imap server information,major
260358,flash player  module not recognized properly,major
268139,"when i try to install theme installer add on, it fails.",normal
698323,mathml menclose has no offsetwidth or offsetparent,normal
362670,[mac][cairo] graphical glitches when hovering a drop-down menu,normal
260512,"load bookmark marked ""load in sidebar"" in the sidebar  when opened via keword ",normal
778399,"when there is a hash symbol, #, in the address bar, simply clicking on the address bar and pressing enter does not load the page.",normal
797579,unable to use options in ebay sell catagory,normal
91172,webding symbol font not rendering in mail,normal
423060,feed handling in google/yahoo/bloglines broken,normal
99118,x remote client can't ever send commands,normal
479617,"navigation buttons don't work when i print from ""print preview""",normal
554225,tab bar over (ontop,normal
284944,javascript window.focus() does not work,major
62036,browser hangs on checking for 'user encryption when storing data' ,major
272755,keyboard shortcuts don't work on bookmarks' context menu,normal
111399,can`t download zip files when zipmagic is on,major
73951,global history requires manual hook-up,normal
240834,soap implementation does not support multiref s,normal
326896,bookmarks toolbar buttons in places should not change after visiting links,normal
365043,want helper for implementing nsiclassinfo without a factory,normal
7026,[pp] bookmarks| ie favorites submenu does not appear,normal
664107,calling drawimage with non-finite arguments should not throw,normal
356485,css counter / counter-increment not working correctly,normal
752973,"cannot get ""search"" box in inbox screen to work - just puts up another blank scree with search box and doesn't find any e-mail with requested sender id",normal
462128,warning c: 'typedef ' : ignored on left of 'nanojit::guardrecord' when no variable is declared,minor
678558,detect and reject broken gcc,normal
297706,menulist onchange event is not fired unless editable=true,major
643848,"""unable to connect"" error message replaces page after page has loaded",normal
288339,in svg build: window.status does not trigger anymore from javascript embedded in svg,normal
127915,tabindex not working in xul dialogs,major
375094,ddeexec registry key causes weird error message -- all is fine without,normal
80939,sherlock plugin updating fails due to incorrectly cached http head request,blocker
249104,duplicated menus in atk accessibility build,normal
70900,m. - crash on pages containing png,major
482180,some general quirks,normal
166141,"blinking of ""stop"" button",normal
200586,operation overloading not working properly in wsdl,normal
294697,"hint, help, alert not actions so shouldn't fire",normal
226311,bad encoding from form to mail(outlook) usin latin characters,minor
498204,slow to load clicked items; freezes up; checkmarked items don't always delete.,normal
6083,xif: table border attributes output garbage.,normal
507684,missing icons on address toolbar and on webpage,critical
101665,n crash [@ nsocspresponder::compareentries],critical
522363,"nj merge: remove debug-break, unused parameters on displacement check",normal
494769,"[seamonkey, macosx] mochitest-plain: test_wav_trailing.html intermittently triggers ""malloc: *** error: can't allocate region""",normal
308602,onalertclick() throws exception,major
271645,crash compacting folders with nsfoldercompactstate::finishcompact,major
86736,extra scrollbar appears on web page,normal
136487,div borders do not always disappear,normal
163458,corrupted image when saved  w/o filename extension,normal
3813,can't log in to mynetscape with apprunner,normal
362424,sometimes the text in the combobox is left aligned when it should be right aligned,normal
334566,can't delete more than  items at a time from gmail trash,minor
60521,% width tables do not show correctly,normal
447795,any/all bookmarks interaction locks up minefield v.apre,major
774464,jsscript::setsourcemap improperly handles oom,normal
781000,[otoro] webgl not working on otoro phone,normal
585850,rename alltabs.js to alltabs.jsm (like the rest of js modules),normal
188946,backspace on a emoticon will crash the app,critical
552460,ideographic variation sequences support,normal
143663,flickering file type list in helper applications,normal
605847,very bad text rendering (text appears smudged),normal
294430,new window does not open,major
142168,invalid display of colors in .css style sheets.,normal
125924,"cookie manager has weird ""status"" column",normal
135852,double posts on many sites. essential - sourceforge.net,normal
315881,svg causes huge memory consumption,critical
423719,incorrect mouseout triggered when using select element,normal
473525,xul dialog size miscalculated for scrollable panel in container with min-height,normal
229893,google search of keywords typed in the addressbar is broken,normal
26167,"enter bulleted list, bold last word, last word is duplicated at top",normal
281769,firefoy uses % cpu with  tabs open displaying the two urls above,normal
24196,gfx scrollbars missing common unix functionality,normal
311734,"as page loads slowly, image marks up table border specified in css.",normal
518317,"chrome test_bug.html and others intermitently fail, ""failed to bind socket"" message from ssltunnel",normal
224457,the java script headlines gets duplicated on other tabs,normal
785706,message paragraph breaks at char  - bogus eol added that breaks word in two.,normal
138550,scrolling up and down with the mouse wheel leaves artifacts on text on some pages,normal
44825,renaming a profile that is not migrated yet fails,normal
197178,"specific characters, like the german ""umlaute"" are not shown as they shoud. there is a ""?"" instead.",normal
262801,key bindings should be user configurable,minor
63527,autoscrollable submenus remain open after switching app,normal
32833,feature: implement id/idref(s) linking,normal
464309,message headers don't scroll with the message,normal
313977,hold shift and double click on a section of text on a web site.,normal
106105,document content height returned from gecko is not correct in this test case,normal
824952,browser-wide lag caused by snow script,normal
347981,underline breaks arabic joining in xul text,normal
187429,link included div-tag  has active areas outside link,normal
164259,buglist.cgi error at line  using boolean query,normal
738193,'for (x of foo.childnodes)' sometimes yields enumerable property names instead of iterable properties,normal
207294,main frame of page not shown in mozilla,normal
785510,[accessfu] only instantiate ay engine on accessfu._enable(),normal
411706,missing line of image when image is at top of viewport,normal
462666,thunderbird handles appledouble attachments incorrectly,normal
333472,"element width calculation broken (both internally and exposed via offsetwidth) when using css width=% and padding-{left,right}>px.",normal
529574,should notify of maximum password length on registration page,minor
3652,mlk: nscaret during firing,major
38260,necko file cache depends on xpfe!,normal
434544,cross scripting between signed and unsigned web pages,major
124182,move nsavltree into htmlparser,normal
72597,can't tab to <a> in absolutely positioned <div>,normal
645140,"no way to tell when other tab groups are being used, appears that firefox has no tabs open but really has many",normal
405921,visually identify dynamic containers,normal
526196,use  space indentation in electrolysis,normal
501227,check spidermonkey correctness on sputnik test framework,normal
352271,crash dereferencing xdadadada [@ reportcompileerrornumber] called from checkdestructuring,critical
239033,"attachment descriptions with ""bug xxxx"" in them create garbled links in bug page",normal
807991,fireftp causes manu js sinc reflows,normal
192016,css text-align directive applied on the table tag centers the cell contents instead of the table as a whole,normal
530659,facebook chat connection issue in firefox . beta,normal
357861,shutdown crash in mail after sending and reading a message.,critical
276123,recent mac nightly builds contain naught but lump of coal,normal
748426,[azure] assertion failure: nelements <=  [@js_newuintclampedarray],normal
818668,awesome bar becomes unsearchable after time,normal
253929,crash after clearing cache and surfing this site,critical
564634,"tries to load images within json (improperly encoded), causing unnecessary s",normal
39659,[ender-lite] page redraws every time you type,normal
763026,shift+leftclick on a bookmark link does not show site address in the address bar,normal
281821,add mention of 'testserver.pl' to webserver configuration section,normal
592783,always attempt to extract application.ini and the child process executable,normal
670338,add double overload to nstointround to stop build warnings,normal
726092,[huge image] zooming image using ctrl+/- causes it to become transparent and zooms randomly and distorts,normal
606070,warning c: 'return' : conversion from 'const pruint' to 'pldhashnumber' in nshashkeys.h,minor
420790,"""assertion: negative flow length?"" with xbl, <caption>, lro",normal
818379,interface objects should have an own length property even when we're faking the function,normal
442653,go button turned into a bookmark star,normal
585471,indexdb thread safety assertion on windows debug tests,normal
591547,intermittent crash [@ xac][@ xpcjsruntime::gccallback] in mochitest/ajax/offline/test_identicalmanifest.html,normal
558337,wrong s/mime recipient certificate selected if two certificates have same subject,major
496564,after difficulty manually entering plug ins - sound volume on plug ins extremely low?,normal
763839,implement facebook's socialapi dropdown menu,normal
93581,dns failure not indicated by nsirequest::status in onstartrequest,normal
232583,"combine nsimarkupdocumentviewer, nsidocumentviewer, nsicontentviewer, ...",normal
587095,autocomplete in console is over aggressive,normal
713301,phone calls not working in emulator,normal
193535,page not displayed properly. images and text not laid out propoerly,normal
10448,page jumps,major
469451,starts to hog ram after a few minutes of use,normal
418103,usability: back button is not clickable at the edge of the screen,normal
626634,back/forward buttons. add a hint that a right click menu is available,normal
637397,"jm: assertion failure: cx->compartment->debugmode, at ../methodjit/retcon.cpp:",normal
26640,crash in mem cache loading bbc news site,normal
717855,intermittent test_bug.html | application timed out after  seconds with no output,normal
339057,popup ad in mozilla but not in ie,normal
583211,"html input type image only submits x and y, not name when clicked. keyboard is okay. firefox . submits all .",major
444257,selectionstart will make the script bug when display:none;,normal
771102,support sample_marker from js,normal
653703,correlate c++ profiling with event loop non-responsiveness,normal
662969,silence the clang warnings issued because of alignment requirements increase when compiling jsparse.h,normal
763993,ux for signin-to-ua on desktop,major
375056,firefox thinks that the version number ... does not fall between .b and .a when checking extension compatibility,major
16034,milestone  build exception error,normal
821140,"nsidomwindowutils apis still say they require ""universalxpconnect privileges"", when they should say ""chrome privileges""",normal
633560,integer undefined behaviors in firefox,normal
648237,two xpcshell failures - test_.js/test_handlerservice.js,normal
408788,"ambiguous wording in ""have i visited this website before today?""",normal
388787,long pages in mediawiki display incorrectly,normal
214434,mozilla fails to render css for td elements when printing.,major
537611,"crash in [@ nsaccessible::queryinterface(nsid const&, void**)] checking and unchecking 'attachments' in new search functionality",critical
728792,firefox . hangs when save to pdf in print-preview [mac] script: chrome://xbl-marquee/content/xbl-marquee.xml:,normal
133042,xsl generated doc showing endnote tag problem,critical
72839,expires headers ignored; pages never cached,major
187674,right click on url bar should provide a clear option to erase the entire contents of it,minor
467005,double items is layout when alert() called from mutation event handler,normal
77227,have to open new window after disabling javascript to see <noscript> content.,minor
73158,"tables render with incorrect widths; renders radomly on reload- usually wrong, occasionally correctly",normal
709459,perform audio extrapolation and blending when stitching clips together using processedmediastream,normal
272861,enter access in page key will not allow change of url,normal
585285,"make styling for type=""menu-button"" toolbarbuttons respect the toolbarbutton- class",normal
779001,[azure] fix falling back from dd to cairo drawtargets with large surfaces,normal
675191,cached dynamic overlays still get saved to fastload (startup cache),normal
772829,use mochitest.mk in a few more places.,normal
282167,mousing over <select> elements invalidates an area that is too large,normal
380182,undetectable property: error.prototype.stack,normal
210141,javascript_global_property_category stuff shouldn't be readonly,normal
57361,deleting the parent profile dir causes registry update problems..,normal
512158,"ff repeatedly starts, crashes w/o user input",critical
91881,javascript error in cookietasksoverlay.xul,normal
594732,broken statusbar,major
555099,nsautogcroot used as temporary,normal
102534,typednode serialization doesn't handle default namespace correctly,normal
375529,;lkjhgdi  j,normal
172093,can't assign a width style in pixel to a newly created node,normal
658532,home page tabs not retained,normal
722654,"leading whitespace in plaintext messages is stripped when smaller-than sign ""<"" is first character",normal
415558,conflict between !important declaration and specificity rule resolved incorrectly,normal
611025,firefox .. crashes whenever browsing for - minutes with - tabs open,normal
621630,"plugin not loaded when inline code tries to access it, if in a form",normal
529502,"gmx smtp server ""use secure authentication"" is enabled by default",normal
293322,automator actions,normal
479374,"browser starts site web page display then crash with error message ""can't build config""",critical
224844,browser does not recognize ssl certificate,normal
305258,other firefox windows disappear from task bar,critical
801323,"'multiple tabs, confirm close' dialog always show, even if disabled in options",normal
641781,port the safe mode startup screen from firefox to thunderbird,normal
750056,launcher panel moves to the top of about:home page when in rtl mode,normal
406460,"when copying from inside of a <pre></pre> tag, the content's newline characters are stripped.",normal
345529,crash in pref_docallback() (node is xdddddddd) when i use about:config to change the hidden browser.tabs.closebuttons pref,normal
21958,personal toolbar items change size as you mouse over them,normal
308773,"background color for table cell, on print, fills page with cell's background color",major
727425,/usr/share/applications/mimeinfo.cache is used for default applications,normal
42010,atomkey::hashvalue casts pointer to pruint,normal
561533,"firefox .., .. (installed on benq ae) aborts x session when opening certain sites",critical
309088,relocation r_x__pc against `memcpy@@glibc_..' can not be used when making a shared object,normal
26329,need to unregister and remove appshell component.,normal
463643,crashed after updating mysql plugin for firefox.,critical
485703,hide buckets not containing additional entries,normal
740375,get rid nsiaccessible innerhtml method,normal
74228,underline continues past its closing tag - residual style?,normal
272421,cant generate a midas editor using dom tools,blocker
779671,load_flags_bypass_cache doesn't work when offline,normal
58333,middle mouse button paste of url no longer works,normal
131063,surrogate characters can not be pasted into xp ms word as source format,normal
823224,crash when running enumerateeditable on device storage for pictures in a privileged signed packaged app,normal
175066,error mesg. generated when clicking on link to download files,major
36981,default table values don't show up for row and column,normal
82468,offline then online unable to go to any uncached url,critical
209844,navigator.javaenabled() always returns false at start,normal
573013,mozilla crashes the display driver when dd is enabled,critical
719118,"firefox crash [@ mozalloc_abort(char const* const) | mozalloc_handle_oom() | nsmemory::clone(void const*, unsigned int) ]",critical
266324,"crash if ""window.find()"" is called in a ""while(true)"" loop of a javascript",critical
170556,particular embedding of flash object in html causes mozilla to crash.,normal
93045,unknown certificate authority dialog popup freezes mozilla,normal
409617,autocomplete reverts to . mode after location bar is removed and added,minor
167222,changing web pages within nybass.com site caused crash,major
223552,incorrect count in status line on get mail,normal
685933,firefox  live bookmarks broken,normal
277135,[svg sr] style system,normal
448843,svg texts are not set by the svg's own markup,normal
284091,cannot enter data in https page,blocker
285705,index on some text columns on postgres needs to use lower,normal
8938,incorrect frame rendering,normal
427716,don't get modules before locks,critical
167282,"remove ""nsilocalfile file"" and ""nsifileurl fileurl"" from nsifilepicker,  just use files",normal
393582,improve the nsxulpopupmanager.cpp nsnavigationdirection code,normal
544075,a part of the american english firefox is in brazilian portuguese,normal
80615,back/forward buttons broken,major
103399,[rfe] give better representation of selection that is being dragged,normal
236966,need a better api for getting computed padding/border/margin/outline,normal
57914,textarea pasting into the middle of blank lines is wonky.,normal
522931,"texttosuburi.unescapeandconvert(""utf-"", null) causes crash in ns_strdup",normal
80892,text fields do not accept bit characters,major
638596,document.getelementbyid(...).value returns reversed string under certain circumstances,minor
306861,menus are no longer consistant with other xp applications and dont behave correctly,major
583393,"on encrypted mail, detach and delete both grayed out on file attachments menu and on attachment pane right click context menu",major
531973,vcard prefered message format,normal
225302,document.onfocus = function() { alert('hi'); } causes crash of mozilla,minor
374460,freezes at start or extremely slow to open home page,normal
563650,throbber or busy indicator in folder tab part runs continuous,normal
238853,"mozilla . ftp fails to copy files over ,,, bytes in size",normal
593733,support some form of component alpha with gl layers,normal
159331,font mapping is different from ie when font-size has a non-integer value,normal
650720,"[html] canvas.todataurl(""image/jpeg"") should composite onto black",normal
205562,position of <li> elements in source causes caret movement problem,normal
542047,forward nsdomscrollareaevent,normal
409828,printing failed for indic webpages (sometimes blank output sometimes garbage text printed),major
466791,"error like: "" gateway time-out"" produces a blank page",minor
258193,nsidommouseevent::getbutton() broken with contextmenu event,normal
396726,serious performance regression in dealing with binary-data-as-text document on linux,normal
699661,make obj->getelement actually call into the ops getelement hooks,normal
277628,help shows enter instead of click (left click),normal
808691,the remote and chrome debugger windows should remember their size across sessions,normal
621205,add something single-threaded and shared between compartments,normal
453343,provide better error message for the stack-only checker,normal
329149,places should open in current tab if it is about:blank.,normal
401963,adding a button to the dom on document load causes input fields to blank on refresh,normal
224470,site renders improperly with certain browser resolutions.,normal
78450,plugin windows don't work with mouse wheel.,normal
562198,firefox .. gets different response from server in comparison to firefox .. in the same page,major
203513,advertisements acting screwy,normal
196107,debug: networking preferences in wrong category,normal
451981,add a build target to compare bin/ and the package list,normal
606717,comparison between signed and unsigned integers in nstexteditrules::collapseselectiontotrailingbrifneeded,normal
536872,"in windows xp pro message box ""thunderbird has encountered a problem and needs to close"" with send, don't send option",critical
608683,java is qick but after scroll no refresh of java window,normal
389739,xmlhttprequest readystate does not define constants,minor
749874,"[meta] camera api (getusermedia, still image only) support -- android",normal
498227,can't delete message thread w/ keyboard if select thread is invoked while message pane is focused,normal
635424,"assertion failure: !compartmenthaslivescripts(comp), at d:/dev/tracemonkey/js/src/jsdbgapi.cpp:",critical
369243,removed unused flag ns_block_shrink_wrap,normal
379395,xul loaded in content cannot call functions defined in (same-origin-) xul loaded in iframes,normal
551442,"when oracle j-initiator starts firefox . (..) crashes, every time.",normal
262035,"when clicking ""read mail"" from tools menu thunderbird will not open.",major
321445,cannot create or edit bookmark,normal
71710,allow users to opt out of depend emails,normal
510855,update doesnot launch firefox,major
330206,the places window should remember the position of the middle bar,minor
798929,archiving a mail folder does not preserve tags in subfolder,normal
279511,"only shows incompatible extensions, not incompatible themes",normal
747346,cleanup nstexteditrules::createtrailingbrifneeded(),normal
676185,nsifile.equals should ignore case for case insensitive filesystems on osx,normal
772297,windows profile symbolication doesn't support json format,normal
704256,firefox stops responding periodically for ~ seconds.,normal
171053,network image requests should not generate progress notifications...,normal
367381,no content printed,normal
519481,advanced search has empty version and milestone,major
257545,firefox crashes when clicking the 'products' link.,critical
495056,leak of argument bitmap with generators,normal
444740,"thunderbird should verify all subscribed imap folders for incoming e-mail, not only the inbox",normal
634104,works on google chrome,normal
10129,[pp]version registry: package node not created after triggering jar file,major
52687,window titles missing in our dialogs including the password dialog. ,normal
616148,unable to type in address bar after viewing pdf with adobe reader ,critical
575494,es: remove drop_dead from necko source,normal
537942,read error right after installing thunderbird ,normal
216028,request for scott doesn't warn for > matches,minor
619555,fix the description of bug.attachments,minor
279171,chromehidden attribute should be set earlier,normal
91401,ocsp's response signer confusing,normal
656221,"ti+jm: assertion failure: fe_ != null, at ../methodjit/framestate.h:",normal
297271,thunderbird doesn't fully load when selecting one of multiple profiles,normal
296816,cairo-gtk build fails with cairo .,normal
761094,enable ie migrator on mingw builds,normal
341822,attachments when retrieved from postgres are garbage,major
276224,"using document.write (javascript) on an xslt created page (inline) creates ""uncaught exception"" in the js console",normal
351771,attachment.cgi?...action=viewall should not show removed attachments,minor
776497,crash in nsglobalwindow::setnewdocument,critical
178119,img tags with style attributes are being ignored,normal
337458,feed preview: font-size in px instead of %,normal
760833,awesome bar directs to last url for any url picked,normal
152769,"mozilla doesn't support ftp in ""passive mode"".",normal
294186,context menu cut off at top/bottom of page,normal
519633,displays wrong - latest opera & safari correct,normal
180747,"untrusted content shouldn't be able to resize to smaller that / pixels, or larger that screen. is this always so?",normal
450886,[meta] restore window features as accurately as possible,normal
731105,npr.org zombie compartment,normal
151835,internal table borders incorrectly sized when used with form tags around trs,normal
703568,disable battery api by default in firefox ,normal
87946,focus goes to urlbar when opening new browser via open web location [no form],normal
352002,no more searchengines,critical
628741,moved messages remain in message list,normal
395600,crash on hitting url,normal
56302,event capture stops working.,normal
220861,message pane empty if focused during mail download,normal
438773,wrong bookmark favicons on start up,minor
261319,"scroll wheel (mouse) functionality limited by pointer location on ""printed"" page",minor
33781,cannot put <template> in a <treeitem>,critical
369234,"firefox windows blanks out after displaying page and sits continuously ""loading...""",normal
257780,title attributes added by setattributens are displayed as xhtml-title whatever is there namespace,normal
29408,bugzilla - process_bug.cgi (changing a bug) appends info on another bug,normal
305198,malicious url makes firefox unhappy,normal
642299,"add jstests to make check, with jitflags",normal
666861,data:image/png;base image don't display properly in view page info,normal
318143,sometimes messages are marked as junk but left in the inbox,normal
186551,js screen.width returns wrong value,normal
29302,typography issues,normal
121058,table background improperly redrawn,minor
505132,caret browsing automatically enabled on upgrade from .. to ..,normal
34473,endless loop of gdk-critical messages on stdout,normal
113008,nsidomnodefilter should be flagged with [function],normal
324717,extra extensions.getmoreextensionsurl and extensions.getmorethemesurl prefs in firefox.js,normal
495650,multiple compile errors with cairo-qpainter-surface in qt port: starting with _cairo_traps_extract_region(),normal
47369,pref popup menu for chaset comes as empty,normal
202948,choices for autocompletion on address bar appear off the left side of screen,major
213637,"mozilla runs at % cpu usage after wireless card is removed, or resuming from standby",critical
637166,"crash [@ mozalloc_abort(char const* const) | mozalloc_handle_oom() | std::_allocate<messageloop::pendingtask>(unsigned int, messageloop::pendingtask*) ]",critical
619816,org.mozilla.fennec should be configurable via configure.in,normal
755312,drag and tear off a tab to new window and the window has no tab,normal
229960,gif images show as black areas; ok after starting ie,normal
738387,div over flash with round corners,normal
335716,missing part of long e-mail when saving as txt file.,normal
554618,pdf file extension and header,normal
267812,ffrc crash on flash pages [@ js_addargumentformatter],critical
299378,java script is invisible.,normal
448585,"browser redirects the page even if the document has xml errors (is not ""well-formed"").",normal
438547,cannot login to my isp,normal
352876,"""assertion failure: js_uptrdiff(sp, fp->spbase) <= depth * sizeof(jsval)"" with finally{return}, finally{yield}",critical
450667,nsdomstorage::getquota should be reconciled with nscontentutils::offlineappallowed(),normal
375585,deadline not showing in edit search view of saved search,normal
706180,use /tools/gcc-.-moz,normal
272578,browser crash in nsframemanager caused by nested xul tooltip tag,normal
106394,text zoom menu item does not update,normal
336499,smtp send is delayed when windows xp firewall is enabled,normal
352180,remove intlcmpt library,normal
633759,javascript window.open invalid argument,major
47837,page mark goes just outside view,normal
27144,"with no body content, editor adds a br moz_editor element in page source",normal
86921,url prints incomplete...,major
718850,ionmonkey: jsop_and cannot be used in loops.,normal
337817,"""mails received"" traybar popup does not follow/understand message filters",normal
300364,disabled form elements are enabled/disabled differently on reload,normal
728632,leak with css mask,normal
797304,reimplement movewrappers in terms of orphan fixup,normal
95629,settimeout or setinterval throw an exception,normal
567657,automatic proxy does not work with java plugins,major
320780,resize window upon utilizing gmail drop menu,normal
425826,test case for bug  renders at different scale for http vs file urls on some pcs but not others,normal
364151,inefficient sql: selecting custom fields from fielddefs,normal
806199,firefox steals a user tab to show the update info,critical
251146,canonization (adding www. and .com/.net/.org) and alt-enter (to open in new tab) together only works for combination of shift - alt -enter,normal
12612,m solaris  build crashed (core dump),major
509889,nseventstatemanager::getcontentstate needs fast path to nsfocusmanager::getfocusedelement,normal
809510,"[market] [ux] [persona] message ""we are sorry..."" appear more times than necessary",normal
654082,building in gcc c++x mode uses symbols from libstdc++ . on debug builds,normal
489118,"when i try to print a document from my banking url, most of the print in the body fails to appear. only the header & footer graphics show. this did not occur when using ie . also, when i try to view video through mls.net, i get a blank video feed screen.",normal
118232,"ssl ""lock icon"" tied to first tab only",normal
404875,stop requesting goog-white-exp,normal
616342,page-break-before/page-break-after should not apply to inline elements,normal
657780,framelayerbuilder warning pldhash,normal
167978,fix throw*error ln regressions and add a test to catch more,normal
255565,mouse shortcuts - paste url and go shorcut is working only on linux by default,normal
785679,media/gfx push required a clobber,blocker
355987,content does not open a new tab,major
237400,audiodev environment variables causes crash on keyboard input,normal
414471,flash screen draw bugs with firefox/mac,normal
336570,adblock plus crashes firefox on many images/flash,major
361685,"let can shadow ""var"" in a sub-scope but can't shadow ""const""",minor
337367,eliminate ns_newlocalfilewithfsspec and ns_newlocalfilewithfsref,normal
87870,fill saved data before showing the page,normal
773518,netwerk\cache\nsdeletedir.cpp should use windows vista io prioritization to lower its io priority,normal
572018,video -> webgl texture update causes massive memory leak,critical
245557,mozilla . rc crashes when the above link ( ingdirect.com ) is clicked on.,normal
591478,.. becomes not responsive,critical
577518,stack exhaustion on startup with accessibility enabled and default browser dialog not yet answered,critical
402377,can no longer rearrange bookmarks,normal
280917,scrolling is slow in frames with heavy loaded page - page scrolls smoothly out of frames,normal
414088,investigate framearena sizing,normal
7737,[pp] a crash occurs in apprunner after clicking on my netscape.,normal
671113,poison jsscripts when freed to get more crash data,normal
355842,"zero length lines not drawn (should be visible if stroke-linecap=""round"")",normal
604108,function namespace object has the same bug as the anyname object.,normal
811737,unable to print pdf files from register of deeds,normal
100176,url: schemes should error if they are not registered.,major
59238,unable to load this url in ns,major
44048,chrome has no autodiscovery of packages,normal
138348,transition trunk build fixes to stable . branch,normal
512195,tm: proto lookup in js_newobject is ridiculously slow,normal
222565,folder choice,normal
535064,~mb hi-res jpeg appears as black square,normal
436263,cannot convert ‘__va_list_tag**’ to ‘__va_list_tag (*)[] in jsapi.cpp building js shell,normal
488629,error when using network based geolocation when offline,normal
788419,crash in js::debugscopeproxy::handleunaliasedaccess,critical
345936,frequent crashes for bon echo; incident id tbh,normal
519677,"""ok"" button in ""about thunderbird"" dialog should be aligned right",normal
421132,moving bookmarks from bookmarks menu to unfiled bookmarks loses bookmark,critical
562447,when navigating in gmail sometimes get a screen full of white,normal
654025,lighting filter renders randomly,normal
577050,cannot print or enlarge pictures in firefox,normal
334789,repeat doesn't work in xul,normal
28468,removing bullet requires hitting icon twice and causes caret to move to the next line,normal
159963,a way to close channel programatically,normal
303867,"designmode=""on"" does not work with xulrunner",major
821367,popup falsely reports a problem with realplayer and downloads malware instead of solution,normal
22085,"[pp]install script fails with ""os drive"" param for getfolder (and null param for addsubcomp)",normal
51497,strange right mouse click behaviour,normal
72685,networking: cache component needs change,normal
424949,keyhole (back/forward buttons) in small iconic mode are too big,normal
787698,consider disabling tab animations,normal
421275,thai above and below vowels display incorrectly in url bar,normal
364431,bookmark toolbar comes back like a boomerang,major
562574,"during test_bug-.html: ""warning **: expose rectangle not in clip rectangle"" and ""###!!! assertion: clip rectangle offsets are negative!: 'offsetx >=  && offsety >= ', file nsobjectframe.cpp:""",normal
156866,moz-icon: urls generate onerror events,normal
99536,browser does'nt import the website cert again after deleting website cert.,critical
29908,opening mail message takes out networking on mac,blocker
261459,remote images blocked message also shown on plaintext mail,normal
563227,potetial memory leak on pages using flash,critical
201387,behavior of html font face= and font-family in css different for symbol fonts,normal
613519,"new in .: for tables, firefox will preview and print only the first page of the url, swallows all following pages",normal
481214,"keyboard/mouse problems after clicking on ""add exception"" (if untrusted connection)",major
29540,right click issue,normal
486489,mochitest-chrome intermittent leak of  kb,normal
370906,[rfe] dynamic tracing frmework for mozilla,normal
236302,omniweb profile migrator,normal
788696,"parts of many websites, like facebook chatlist, and parts of the ui weren't updated/refreshed before another programm gets the focus.",normal
777834,"""assertion failure: ptr,""",critical
636249,"after . upgrade, no email notifications being sent",major
141184,"img src="""" does not authenticate when page was loaded as file",normal
568613,"[es] ""browser.history_expire_days"" clear user pref doesn't work in child processes",normal
582952,frequent hangs when manipulating the profile lock,major
806063,firefox mixes tabs and urls up,normal
219706,using arrow keys to select drop down list box items selects two down or two up,normal
411981,"""more"" and ""less"" appear different on mac and windows",normal
344067,passing +-inf or nan as index to options.add() halts script execution instead of throwing an exception,normal
187611,cannot view source when viewing xslt translated xml documents,normal
614493,move name information from jsfunction into jsscript,normal
499803,implement simple clipboard on windows ce,normal
276176,program crashes,critical
174595,ctrl-f keyboard accellerator broken ,major
745188,remove erroneous language parameters to xhtml headers,normal
591008,"browser_hudservicetestsall.js | log() is logged - didn't expect -, but got it",normal
575390,make methods that can be called on uninitialized imgcontainers explicit,normal
171147,version number is too low.,normal
796418,[azure] cairo check matrix consistency before drawing,normal
4163,dragdrop event on window does not work.,major
802556,list of rss messages is cleared everytime it's refreshed,normal
701443,"amctv.com causes long cc times, zombie compartment, high heap-unclassified",normal
463627,<video> audio playback stops after some seconds with alsa backend playing via pulseaudio,normal
485639,date.parse is too sensitive to spaces (am/pm marker),normal
87904,need delete file confirmation if the files are not in profile root,normal
177953,most form widgets don't print,normal
7393,"assertion failure: !""i/o method is invalid"", at priometh.c:",normal
